latitude	longitude	dataset_name	ecosystem
32.7418	-16.7113	Ocean Sampling Day 2014	coastal
32.646	-16.9102	Ocean Sampling Day 2014	coastal
32.7747	-16.8287	Ocean Sampling Day 2014	coastal
69.0233	-105.343	Ocean Sampling Day 2014	coastal
65.9449	-22.4192	Ocean Sampling Day 2014	coastal
65.9449	-22.4192	Ocean Sampling Day 2014	coastal
39.1404	-9.38011	Ocean Sampling Day 2014	coastal
38.7573	-8.96633	Ocean Sampling Day 2014	coastal
38.6769	-9.01239	Ocean Sampling Day 2014	coastal
40.1451	-8.86933	Ocean Sampling Day 2014	coastal
40.6599	-8.70376	Ocean Sampling Day 2014	coastal
38.6667	-9.4367	Ocean Sampling Day 2014	coastal
34.41	-9.51	Ocean Sampling Day 2014	coastal
39.1343	-9.38478	Ocean Sampling Day 2014	coastal
39.4151	-9.21883	Ocean Sampling Day 2014	coastal
37.167	-7.504	Ocean Sampling Day 2014	coastal
51.7423	-8.3112	Ocean Sampling Day 2014	coastal
29.4667	34.9291	Ocean Sampling Day 2014	coastal
32.822	32.954	Ocean Sampling Day 2014	coastal
34.3244	135.121	Ocean Sampling Day 2014	coastal
55.0331	-1.43278	Ocean Sampling Day 2014	coastal
66.0069	-18.1965	Ocean Sampling Day 2014	coastal
66.0078	-18.1953	Ocean Sampling Day 2014	coastal
65.4886	-18.0608	Ocean Sampling Day 2014	coastal
65.8172	-18.1018	Ocean Sampling Day 2014	coastal
43.1758	27.9086	Ocean Sampling Day 2014	coastal
66.1316	-18.7902	Ocean Sampling Day 2014	coastal
42.2449	27.4008	Ocean Sampling Day 2014	coastal
32.0694	34.843	Ocean Sampling Day 2014	coastal
-33.8971	18.3868	Ocean Sampling Day 2014	coastal
42.49	3.15	Ocean Sampling Day 2014	coastal
60.1612	5.11504	Ocean Sampling Day 2014	coastal
31.3836	-80.8667	Ocean Sampling Day 2014	coastal
31.9828	-81.0167	Ocean Sampling Day 2014	coastal
21.2688	-157.722	Ocean Sampling Day 2014	coastal
51.3614	3.11886	Ocean Sampling Day 2014	coastal
78.4533	-2.82967	Ocean Sampling Day 2014	coastal
8.5216	81.0521	Ocean Sampling Day 2014	coastal
53.5809	8.14864	Ocean Sampling Day 2014	coastal
-34.37	-54.16	Ocean Sampling Day 2014	coastal
-34.6759	-54.2752	Ocean Sampling Day 2014	coastal
-34.42	-54.16	Ocean Sampling Day 2014	coastal
44.6936	-63.6403	Ocean Sampling Day 2014	coastal
44.6936	-63.6403	Ocean Sampling Day 2014	coastal
44.6936	-63.6403	Ocean Sampling Day 2014	coastal
36.9977	-7.97312	Ocean Sampling Day 2014	coastal
44.6667	-1.16666	Ocean Sampling Day 2014	coastal
59.8162	10.5986	Ocean Sampling Day 2014	coastal
59.8162	10.5986	Ocean Sampling Day 2014	coastal
59.8996	10.72	Ocean Sampling Day 2014	coastal
59.8996	10.72	Ocean Sampling Day 2014	coastal
59.622	10.6282	Ocean Sampling Day 2014	coastal
59.622	10.6282	Ocean Sampling Day 2014	coastal
37.4328	-25.19	Ocean Sampling Day 2014	coastal
48.359	-4.552	Ocean Sampling Day 2014	coastal
43.6861	7.31567	Ocean Sampling Day 2014	coastal
43.6861	7.31567	Ocean Sampling Day 2014	coastal
56.9631	-2.1031	Ocean Sampling Day 2014	coastal
58.957	-2.9726	Ocean Sampling Day 2014	coastal
60.1433	-1.2825	Ocean Sampling Day 2014	coastal
57.8498	-5.6495	Ocean Sampling Day 2014	coastal
43.4325	2.89966	Ocean Sampling Day 2014	coastal
65.7064	-18.1181	Ocean Sampling Day 2014	coastal
38.4133	27.0342	Ocean Sampling Day 2014	coastal
51.7961	1.01296	Ocean Sampling Day 2014	coastal
51.4347	2.81087	Ocean Sampling Day 2014	coastal
51.2695	2.9047	Ocean Sampling Day 2014	coastal
51.3073	2.84933	Ocean Sampling Day 2014	coastal
51.3749	3.21833	Ocean Sampling Day 2014	coastal
51.441	3.13995	Ocean Sampling Day 2014	coastal
51.4716	3.05917	Ocean Sampling Day 2014	coastal
51.3348	2.50215	Ocean Sampling Day 2014	coastal
51.2777	2.6135	Ocean Sampling Day 2014	coastal
51.1857	2.70167	Ocean Sampling Day 2014	coastal
51.5803	2.7897	Ocean Sampling Day 2014	coastal
35.3637	33.2896	Ocean Sampling Day 2014	coastal
51.4584	2.35047	Ocean Sampling Day 2014	coastal
51.7483	2.698	Ocean Sampling Day 2014	coastal
51.6829	2.4152	Ocean Sampling Day 2014	coastal
51.4816	2.45148	Ocean Sampling Day 2014	coastal
38.8855	-76.5416	Ocean Sampling Day 2014	coastal
35	33	Ocean Sampling Day 2014	coastal
48.7778	-3.9375	Ocean Sampling Day 2014	coastal
64.2083	-22.015	Ocean Sampling Day 2014	coastal
64.2083	-22.015	Ocean Sampling Day 2014	coastal
45.08	13.61	Ocean Sampling Day 2014	coastal
43.2264	5.74583	Ocean Sampling Day 2014	coastal
35.1927	-2.88005	Ocean Sampling Day 2014	coastal
35.0864	-2.21466	Ocean Sampling Day 2014	coastal
35.82	-5.75	Ocean Sampling Day 2014	coastal
16.8026	-88.0816	Ocean Sampling Day 2014	coastal
27.4694	-80.2834	Ocean Sampling Day 2014	coastal
54.1819	7.9	Ocean Sampling Day 2014	coastal
59.8822	23.2538	Ocean Sampling Day 2014	coastal
31.216	29.966	Ocean Sampling Day 2014	coastal
38.6792	-76.1742	Ocean Sampling Day 2014	coastal
39.3322	-75.4699	Ocean Sampling Day 2014	coastal
26.1029	-80.0931	Ocean Sampling Day 2014	coastal
24.7449	-80.7838	Ocean Sampling Day 2014	coastal
32.7524	-79.8995	Ocean Sampling Day 2014	coastal
40.808	14.25	Ocean Sampling Day 2014	coastal
48.0405	-123.026	Ocean Sampling Day 2014	coastal
38.2686	15.6371	Ocean Sampling Day 2014	coastal
32.867	-117.257	Ocean Sampling Day 2014	coastal
27.6158	-82.7259	Ocean Sampling Day 2014	coastal
30.2484	-88.7483	Ocean Sampling Day 2014	coastal
45.502	12.4176	Ocean Sampling Day 2014	coastal
45.4125	12.5265	Ocean Sampling Day 2014	coastal
45.3256	13.3319	Ocean Sampling Day 2014	coastal
43.3333	-1.925	Ocean Sampling Day 2014	coastal
9.3485	-82.266	Ocean Sampling Day 2014	coastal
33.9126	27.0253	Ocean Sampling Day 2014	coastal
33.907	27.0415	Ocean Sampling Day 2014	coastal
43.8444	-69.6409	Ocean Sampling Day 2014	coastal
43.8604	-69.5781	Ocean Sampling Day 2014	coastal
21.2888	-156.864	Ocean Sampling Day 2014	coastal
21.2866	-157.844	Ocean Sampling Day 2014	coastal
34.7181	-76.6707	Ocean Sampling Day 2014	coastal
35.661	24.99	Ocean Sampling Day 2014	coastal
35.661	24.99	Ocean Sampling Day 2014	coastal
41.6666	2.8	Ocean Sampling Day 2014	coastal
33.3231	-79.1676	Ocean Sampling Day 2014	coastal
41.5245	-70.6722	Ocean Sampling Day 2014	coastal
53.2254	-4.15903	Ocean Sampling Day 2014	coastal
45.3144	12.5083	Ocean Sampling Day 2014	coastal
46.4416	30.7759	Ocean Sampling Day 2014	coastal
-36.2928	174.819	Ocean Sampling Day 2014	coastal
45.4568	12.2605	Ocean Sampling Day 2014	coastal
-17.2894	-149.54	Ocean Sampling Day 2014	coastal
45.4142	12.4378	Ocean Sampling Day 2014	coastal
-45.7442	170.771	Ocean Sampling Day 2014	coastal
54.8333	10	Ocean Sampling Day 2014	coastal
41.6835	-8.8341	Ocean Sampling Day 2014	coastal
41.1416	-8.6668	Ocean Sampling Day 2014	coastal
43.9475	12.935	Ocean Sampling Day 2014	coastal
43.8514	13.0731	Ocean Sampling Day 2014	coastal
43.57	13.595	Ocean Sampling Day 2014	coastal
74.31	-20.3043	Ocean Sampling Day 2014	coastal
74.31	-20.3043	Ocean Sampling Day 2014	coastal
37.0051	-7.97312	Ocean Sampling Day 2014	coastal
38.4843	21.3169	Ocean Sampling Day 2014	coastal
32.7467	-9.03667	Ocean Sampling Day 2014	coastal
33.5839	-7.70064	Ocean Sampling Day 2014	coastal
33.2596	-8.49922	Ocean Sampling Day 2014	coastal
35.0864	-2.21466	Ocean Sampling Day 2014	coastal
1.2685	103.917	Ocean Sampling Day 2014	coastal
37.4257	-25.3156	Ocean Sampling Day 2014	coastal
38.5297	-28.6018	Ocean Sampling Day 2014	coastal
38.64	-28.13	Ocean Sampling Day 2014	coastal
45.7009	13.71	Ocean Sampling Day 2014	coastal
33.58	-118.38	Ocean Sampling Day 2014	coastal
48.7778	-3.9375	Ocean Sampling Day 2014 LW	coastal
54.1819	7.9	Ocean Sampling Day 2014 LW	coastal
33.58	-118.38	Ocean Sampling Day 2014 LW	coastal
42.49	3.15	Ocean Sampling Day 2014 LW	coastal
43.2264	5.74583	Ocean Sampling Day 2014 LW	coastal
59.8822	23.2538	Ocean Sampling Day 2014 LW	coastal
26.1029	-80.0931	Ocean Sampling Day 2014 LW	coastal
32.7524	-79.8995	Ocean Sampling Day 2014 LW	coastal
32.867	-117.257	Ocean Sampling Day 2014 LW	coastal
45.3256	13.3319	Ocean Sampling Day 2014 LW	coastal
43.8444	-69.6409	Ocean Sampling Day 2014 LW	coastal
43.8604	-69.5781	Ocean Sampling Day 2014 LW	coastal
33.3231	-79.1676	Ocean Sampling Day 2014 LW	coastal
-45.7442	170.771	Ocean Sampling Day 2014 LW	coastal
54.8333	10	Ocean Sampling Day 2014 LW	coastal
43.9475	12.935	Ocean Sampling Day 2014 LW	coastal
43.8514	13.0731	Ocean Sampling Day 2014 LW	coastal
74.31	-20.3043	Ocean Sampling Day 2014 LW	coastal
45.7009	13.71	Ocean Sampling Day 2014 LW	coastal
32.822	32.954	Ocean Sampling Day 2014 LW	coastal
34.3244	135.121	Ocean Sampling Day 2014 LW	coastal
32.0694	34.843	Ocean Sampling Day 2014 LW	coastal
60.1612	5.11504	Ocean Sampling Day 2014 LW	coastal
31.9828	-81.0167	Ocean Sampling Day 2014 LW	coastal
78.4533	-2.82967	Ocean Sampling Day 2014 LW	coastal
-34.37	-54.16	Ocean Sampling Day 2014 LW	coastal
-34.6759	-54.2752	Ocean Sampling Day 2014 LW	coastal
44.6936	-63.6403	Ocean Sampling Day 2014 LW	coastal
48.359	-4.552	Ocean Sampling Day 2014 LW	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8398	23.251	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
59.8525	23.2582	Baltic Sea Gulf of Finland - 2012-2013	coastal
-62.2031	-58.9208	Antarctic Feldes Bay 2015	coastal
-62.2031	-58.9208	Antarctic Feldes Bay 2015	coastal
-62.2031	-58.9208	Antarctic Feldes Bay 2015	coastal
-62.2031	-58.9208	Antarctic Feldes Bay 2015	coastal
